=== Player Draft Pool (ADC) ===
[1] adlking - Master (ADC) - 3.0
[2] me.pp - Diamond 2 (ADC) - 9.0
[3] Luytenn - Emerald 3 (ADC) - 18.0
[4] xbalmer - Emerald 1 (ADC) - 18.0
[5] Edmontosaurus - Emerald 2 (ADC) - 20.0
[6] vanos____ - Emerald 2 (ADC) - 22.0
[7] ausxh - Emerald 3 (ADC) - 25.0
[8] baomatrix - Emerald 3 (ADC) - 25.0
[9] MajinHollow - Platinum 1-4 (ADC) - 26.0
[10] BirdP3Rson - Platinum 1-4 (ADC) - 26.0
[11] Jbish96 - Platinum 1-4 (ADC) - 28.0
[12] themilkalator - Platinum 1-4 (ADC) - 28.0
[13] kybcat - Gold 1-4 (ADC) - 32.0
[14] isolation19 - Gold 1-4 (ADC) - 35.0
[15] fluffy_s - Silver 1-4 (ADC) - 39.0
[16] Elvynya - Silver 1-4 (ADC) - 41.0
[17] shotsfortots - Silver 1-4 (ADC) - 41.0
[18] Serided - Silver 1-4 (ADC) - 41.0
[19] feeshstix - Silver 1-4 (ADC) - 43.0
[20] jesshipo - Bronze 1-4 (ADC) - 45.0
[21] crazymike1 - Bronze 1-4 (ADC) - 45.0
[22] melonorb - Iron 1-4 (ADC) - 50.0
