=== Player Draft Pool (Jungle) ===
[1] rebornmountainx - Grandmaster (Jungle) - 2.0
[2] Ritty_lol - Master (Jungle) - 4.0
[3] thespecial1 - Diamond 3 (Jungle) - 9.0
[4] billy5832 - Diamond 2 (Jungle) - 10.0
[5] eeleeyas - Master (Jungle) - 13.0
[6] Iateyosushi - Diamond 3 (Jungle) - 13.0
[7] _hyperdragon - Diamond 3 (Jungle) - 14.0
[8] ifearnobody - Diamond 3 (Jungle) - 14.0
[9] akudame_ikumika - Diamond 2 (Jungle) - 16.0
[10] Mcfasho - Emerald 2 (Jungle) - 17.0
[11] kristangent. - Diamond 1 (Jungle) - 18.0
[12] Kuroaf - Diamond 3 (Jungle) - 18.0
[13] Epicphail2 - Gold 1-4 (Jungle) - 19.0
[14] jinjguchiha - Emerald 2 (Jungle) - 21.0
[15] Whynot99. - Emerald 3 (Jungle) - 22.0
[16] bouncy.knight. - Emerald 3 (Jungle) - 23.0
[17] superchicken. - Emerald 4 (Jungle) - 24.0
[18] seagullslayer7 - Emerald 4 (Jungle) - 26.0
[19] sithprincehammy - Platinum 1-4 (Jungle) - 28.0
[20] notalxd - Platinum 1-4 (Jungle) - 28.0
[21] Monturkey - Platinum 1-4 (Jungle) - 28.0
[22] mctatertot - Emerald 3 (Jungle) - 29.0
[23] Barretel - Platinum 1-4 (Jungle) - 31.0
[24] theencry - Platinum 1-4 (Jungle) - 33.0
[25] para.dox - Gold 1-4 (Jungle) - 33.0
[26] tibbywibby11 - Gold 1-4 (Jungle) - 35.0
[27] drjacka1 - Silver 1-4 (Jungle) - 40.0
[28] brandis_ - Bronze 1-4 (Jungle) - 46.0
[29] crusader_iii - Bronze 1-4 (Jungle) - 48.0
