=== Player Draft Pool (Support) ===
[1] levizxy - Grandmaster (Support) - 2.0
[2] borria - Master (Support) - 9.0
[3] pandaemonium9213 - Master (Support) - 9.0
[4] Ponygafo - Diamond 4 (Support) - 12.0
[5] chubbydumpling - Platinum 1-4 (Support) - 14.0
[6] GourmetCookies - Emerald 1 (Support) - 16.0
[7] w0ld - Emerald 1 (Support) - 17.0
[8] themangomenace - Platinum 1-4 (Support) - 23.0
[9] amuchu - Platinum 1-4 (Support) - 25.0
[10] Jerboas - Platinum 1-4 (Support) - 26.0
[11] sigilofaletheia - Platinum 1-4 (Support) - 26.25
[12] austinsilva - Emerald 4 (Support) - 27.0
[13] Bhrisy - Platinum 1-4 (Support) - 31.0
[14] vegito3650 - Platinum 1-4 (Support) - 31.0
[15] geekee - Gold 1-4 (Support) - 35.0
[16] Flaccid4U - Gold 1-4 (Support) - 35.0
[17] jun_with_an_e - Gold 1-4 (Support) - 35.0
[18] iamrowx - Gold 1-4 (Support) - 38.0
[19] Goku2057 - Gold 1-4 (Support) - 38.0
[20] Tiger58 - Gold 1-4 (Support) - 39.0
[21] kie2522 - Silver 1-4 (Support) - 45.0
[22] crazymike1 - Bronze 1-4 (Support) - 45.0
[23] joshe21 - Bronze 1-4 (Support) - 46.0
[24] peachyboop - Iron 1-4 (Support) - 49.0
