=== Player Draft Pool (Top) ===
[1] Owen0214 - Grandmaster (Top) - 2.0
[2] pandaemonium9213 - Master (Top) - 9.0
[3] Ticofighter47 - Master (Top) - 11.0
[4] Iateyosushi - Diamond 3 (Top) - 13.0
[5] Xeuhktal - Diamond 4 (Top) - 16.0
[6] Kuroaf - Diamond 3 (Top) - 17.6
[7] benjamminlol - Diamond 4 (Top) - 18.0
[8] ookami_mio - Emerald 1 (Top) - 18.0
[9] asadbanana - Diamond 3 (Top) - 18.0
[10] yushuYoshi - Diamond 3 (Top) - 18.0
[11] Drysicle - Emerald 2 (Top) - 20.0
[12] aguriv - Platinum 1-4 (Top) - 21.0
[13] xenux - Emerald 3 (Top) - 21.0
[14] .monsuno - Emerald 4 (Top) - 24.0
[15] Promech - Platinum 1-4 (Top) - 26.0
[16] austinsilva - Emerald 4 (Top) - 27.0
[17] thehamburglar8920 - Platinum 1-4 (Top) - 27.0
[18] crimson_0range - Platinum 1-4 (Top) - 29.0
[19] Bhrisy - Platinum 1-4 (Top) - 31.0
[20] CCswift - Platinum 1-4 (Top) - 31.0
[21] .jakefromstatefarmat3am - Emerald 3 (Top) - 32.0
[22] owlbirdy - Gold 1-4 (Top) - 32.0
[23] kybcat - Gold 1-4 (Top) - 32.0
[24] theencry - Platinum 1-4 (Top) - 33.0
[25] bredonis - Gold 1-4 (Top) - 34.0
[26] nerfseason - Platinum 1-4 (Top) - 36.0
[27] Colby115 - Gold 1-4 (Top) - 36.0
[28] chaos0002 - Gold 1-4 (Top) - 36.0
[29] atamaex - Gold 1-4 (Top) - 36.2
[30] Scardeo - Silver 1-4 (Top) - 37.0
[31] Dreadsu - Gold 1-4 (Top) - 37.0
[32] angelofpaper2 - Silver 1-4 (Top) - 47.0
[33] Warmpikmin - Iron 1-4 (Top) - 49.0
[34] Lanciferp - Iron 1-4 (Top) - 50.0


Total Entries: 34
Average Points (Top): 27.200000000000003
