discord_username,Summoner IGN,Pos,Rank Score,Stated Rank,True Peak Rank,Rank Diff Score,Current Ego Rank,Peak Ego Rank,S2024 S2,S2024 S1,S2023 S2,S2023 S1
Owen0214,ohiowen#skib | Owen#2879,Top,2,Grandmaster,Grandmaster 618 LP,-6.18,,,,,Grandmaster 618 LP,Master 1 LP
NicoTheBest8321,Niccus#gopha,Mid|ADC,2,Grandmaster,Grandmaster 549 LP,-5.49,,,Master 68 LP,Grandmaster 549 LP,Master 125 LP,
levizxy,Prince#LuvGF | Levi#NA111,Support,2,Grandmaster,Grandmaster 491 LP,-4.91,Master 261 LP,Grandmaster 491 LP,,,Master 216 LP,
rebornmountainx,RebornMountainx#NA1,Jungle,3,Grandmaster,Grandmaster 382 LP,-3.82,,Grandmaster 382 LP,,,Master 92 LP,Master 104 LP
adlking,Alune#NA999,ADC,3,Master,Grandmaster 611 LP,-12.11,,,Master 359 LP,Master 277 LP,Grandmaster 611 LP,
Ritty_lol,Ritty#NA1,Jungle,3,Master,Master 309 LP,-3.09,,,Master 176 LP,Master 228 LP,,Master 309 LP
different_lol,Different#ADC,ADC,6,Master,Grandmaster 387 LP,-9.87,Grandmaster 387 LP,Master 387 LP,Master 141 LP,,,
ririkaririka,Ririka#6890,Mid,8,Master,Master 17 LP,-0.17,Diamond 3 87 LP,Diamond 2 26 LP,Master 17 LP,,,
pandaemonium9213,His Brother#ETHAN,Support|Top,9,Master,Master 180 LP,-1.8,Master 10 LP,Master 180 LP,Master 22 LP,,,
borria,Borria#NA1,Support,9,Master,Master 32 LP,-0.32,Master 18 LP,Master 32 LP,Master 12 LP,,,
me.pp,PingSpam#NA1,ADC,9,Diamond 2,Master 98 LP,-2.98,Master 8 LP,Master 8 LP,Master 98 LP,,,
billy5832,BILLYBILLYBILLY#FATAF,Jungle,10,Diamond 2,Master 331 LP,-5.31,,Master 116 LP,Master 331 LP,Diamond 3 47 LP,,
Stl_Slayer_24,Stl Slayer 24#NA2 | Boyrider#fmboy,ADC,10,Master,Master 19 LP,-0.19,Diamond 2 83 LP,Master 19 LP,,,,Diamond 3 46 LP
thespecial1,TouchVigor#NA1,Jungle,11,Diamond 3,Master 22 LP,-3.22,,,Diamond 1 46 LP,Master 22 LP,Master 1 LP,
Ticofighter47,ticofighter#NA1 | Tico#TAHM,Top,11,Master,Master 411 LP,-4.11,,Master 189 LP,Master 19 LP,Master 411 LP,,
Pyrosi,Lost in a river#NA1 | Pyrosis#NA1,Mid,12,Master,Master 148 LP,-1.48,,,Master 10 LP,,Master 0 LP,
Ponygafo,Pony#gafo,Support,12,Diamond 4,Diamond 4 44 LP,-0.44,Emerald 1 63 LP,Emerald 1 63 LP,Diamond 4 44 LP,,,
eeleeyas,Xiaolong#eelee,Jungle,13,Master,Master 102 LP,-1.02,Diamond 3 64 LP,Diamond 2 74 LP,,Master 102 LP,,
