profile_ign,primary_role,primary_role_games,primary_role_winrate,secondary_role,secondary_role_games,secondary_role_winrate,rank_score
Owen#2879,Top,307,54.07%,Jungle,251,54.58%,2.0
Niccus#gopha,Mid,949,53.95%,Bot,503,53.48%,2.0
Levi#NA111,Support,423,56.26%,Jungle,253,46.64%,2.0
ohiowen#skib,Top,230,54.35%,Jungle,73,54.79%,2.0
Prince#LuvGF,Bot,105,56.19%,Support,63,57.14%,2.0
Ritty#NA1,Jungle,1183,52.32%,Top,42,35.71%,3.0
RebornMountainx#NA1,Jungle,2861,51.10%,Support,173,42.77%,3.0
Alune#NA999,Bot,848,53.30%,Top,312,57.37%,3.0
Different#ADC,Bot,801,52.81%,Mid,155,51.61%,6.0
Ririka#6890,Mid,270,52.59%,Bot,102,54.90%,8.0
Borria#NA1,Support,467,52.03%,Jungle,183,49.73%,9.0
His Brother#ETHAN,Support,528,48.30%,Top,274,55.11%,9.0
PingSpam#NA1,Bot,741,52.50%,Top,107,50.47%,9.0
Stl Slayer 24#NA2,Bot,806,52.98%,Mid,180,57.78%,10.0
Boyrider#fmboy,Bot,228,60.53%,Top,40,42.50%,10.0
BILLYBILLYBILLY#FATAF,Jungle,2539,51.60%,Mid,90,46.67%,10.0
TouchVigor#NA1,Jungle,1903,53.07%,Top,213,45.54%,11.0
ticofighter#NA1,Top,1568,51.02%,Support,132,49.24%,11.0
Tico#TAHM,Top,190,62.11%,Jungle,33,66.67%,11.0
Pyrosis#NA1,Mid,1092,50.64%,Top,292,52.40%,12.0
Lost in a river#NA1,Mid,141,46.10%,Bot,52,61.54%,12.0
Pony#gafo,Support,617,54.13%,Mid,41,39.02%,12.0
YeetYoteYate#NA1,Mid,714,49.58%,Support,109,54.13%,13.0
Xiaolong#eelee,Jungle,3018,50.33%,Mid,95,33.68%,13.0
hackzorzzzz#NA1,Top,652,52.76%,Jungle,590,52.54%,13.0
PeepaTheHound#Molly,Bot,953,57.61%,Mid,89,44.94%,14.0
Blue#UU70,Mid,687,48.62%,Bot,144,55.56%,14.0
CARPETBOMBCORKI#NA1,Support,322,48.45%,Mid,281,55.52%,14.0
Hyperdragon#Ellie,Jungle,1753,54.14%,Bot,270,38.89%,14.0
I fear nobody#NA1,Jungle,1257,51.23%,Mid,57,45.61%,14.0
DavidEdge#NA1,Support,212,57.08%,Jungle,139,52.52%,15.0
NAQI#crack,Mid,1492,52.14%,Top,288,47.22%,15.0
SEXWOMY#NA1,Mid,75,62.67%,Top,32,46.88%,15.0
GourmetCookies#NA1,Support,552,48.37%,Jungle,152,52.63%,16.0
Akudame Ikumika#NA1,Jungle,446,53.59%,Top,40,52.50%,16.0
BoyHoleBuccaneer#Boom,Support,307,51.14%,Jungle,193,52.85%,16.0
Kessler#KORA,Mid,1160,50.60%,Bot,208,54.33%,16.0
Xeuhktal#NA1,Top,1106,46.47%,Jungle,276,46.74%,16.0
MCFasho#NA1,Jungle,544,52.94%,Top,64,42.19%,17.0
Death#March,Support,852,51.41%,Mid,144,50.69%,17.0
StepAcid#NA1,Mid,187,57.75%,Bot,34,50.00%,17.0
AcidStep#NA1,Jungle,550,48.00%,Mid,514,50.58%,17.0
Happiercat477#NA1,Mid,619,54.12%,Bot,89,53.93%,17.0
vowels#aeiou,Top,979,52.81%,Mid,437,49.20%,18.0
Top Tower#NA1,Top,766,52.35%,Jungle,144,58.33%,18.0
Balmer#024,Bot,349,51.58%,Support,179,54.75%,18.0
Luyten#NA1,Bot,639,56.34%,Jungle,84,45.24%,18.0
Kuroaf#NA1,Jungle,194,52.58%,Bot,178,47.75%,18.0
6 foot 1  Jacked#Gojo,Jungle,2560,51.29%,Top,481,48.86%,18.0
Gawr Goomba#shark,Mid,248,53.63%,Top,217,50.23%,18.0
